card_name,issuer,card_tier,joining_fee,annual_fee,min_income_annual_lakhs,base_reward_rate,reward_unit,point_value,travel_multiplier,air_india_transfer_ratio,milestone_ticket,domestic_lounge,international_lounge,forex_markup,reward_redemption_fee,is_ltf,search_tags,monthly_reward_cap,lounge_cap_details,retention_spend_req,forex_effective,emirates_suitability,notes_tnc,fuel_reward_rate,fuel_cap,surcharge_waiver,Transaction Range (min – max),~,multiplier_channel,direct_booking_rate,airline_partners__001,airline_partners__002,airline_partners__003,airline_partners__004,points_redemption_value_travel,instant_discount_eligible,booking_convenience_fee_waiver,grocery_rate,dining_rate,movie_rate,lifestyle_cap,milestone_benefit,joining_benefit,airline_transfer_json,hotel_transfer_json,gift_vouchers,detailed_rewards_json
Standard Ch. EaseMyTrip,SCB,Mid,350,350,6-12,1%,Points,0.25,1,0.0,No,4,0,3.5%,,False,"travel, discount",,4 dom quarterly,"Rent, wallet, govt, fuel",,3.89%,Med (EaseMyTrip),0% (Excluded),₹291*,1%,"₹500 – ₹5,000",All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,1%,2.0%,1%,No Cap,Annual Fee Waiver,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
Kotak Mojo,Kotak,Mid,1000,1000,4-8,0.6%,Points,0.4,1,0.2,No,8,0,3.5%,,False,"lifestyle, travel",Varies,8 dom quarterly,"Rent, wallet, govt, fuel",,3.89%,Low-Med,0% (Excluded),No Cap*,1%,"₹400 – ₹4,000",All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,0.6%,2.0%,0.6%,No Cap,Annual Fee Waiver,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
IndusInd Tiger,IndusInd,Mid,0,0,6-12,1.5%,Points,1.0,1,1.0,No,8,2,1.5%,,True,"travel, golf",,Spend-based,"Rent, wallet, govt, fuel",,1.77%,Med,0% (Excluded),₹150,1%,"₹400 – ₹5,000",All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,1.5%,2.0%,1.5%,No Cap,Annual Fee Waiver,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""1.5%""}"
AU Altura,AU,Entry,0,0,3-6,0.5%,Points,0.25,1,0.0,No,0,0,3.5%,,True,"cashback, budget",,,"Rent, wallet, govt, fuel",,3.89%,Low,0% (Excluded),₹100,1%,"₹500 – ₹4,000",All Stations,,,,,,,,0,0,0.5%,0.5%,0.5%,No Cap,Fee Waiver only,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""0.5%""}"
RBL ShopRite,RBL,Entry,0,500,3-6,1%,Points,0.25,1,0.0,No,0,0,3.5%,,False,"grocery, budget",,,"Rent, wallet, govt, fuel",,3.89%,Low,0% (Excluded),₹250,1%,"₹400 – ₹4,000",All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,1%,1%,1%,No Cap,Fee Waiver only,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""1%""}"
HSBC Visa Platinum,HSBC,Entry,0,0,4-8,0.5%,Points,0.25,1,0.0,No,0,0,3.5%,,True,"ltf, entry",,,"Rent, wallet, govt, fuel",,3.89%,Low,0% (Excluded),₹100,1%,Min ₹400,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,0.5%,0.5%,0.5%,No Cap,Fee Waiver only,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""0.5%""}"
Canara Visa Select,Canara,Mid,0,0,4-8,0.5%,Points,0.25,1,0.0,No,4,0,3.5%,,True,"banking, lounge",,4 dom quarterly,"Rent, wallet, govt, fuel",,3.89%,Low,0% (Excluded),₹250,1%,"₹500 – ₹4,000",All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,0.5%,2.0%,0.5%,No Cap,Annual Fee Waiver,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""0.5%""}"
SBI Prime,SBI,Premium,2999,2999,8-15,2%,Points,0.25,1,0.5,No,8,4,3.5%,,False,"lifestyle, milestones",Varies,Spend-based,"Rent, wallet, govt, fuel",,3.89%,Med,0% (Excluded),₹250,1%,"₹400 – ₹5,000",All Stations,Direct & SBI Card Portal,0.25%-1.25%,Air India,Vistara,IndiGo,,0.25,10% SBI Sales,0,2.0%,3.0%,2%,No Cap,High Spend Vouchers,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
AU Vetta,AU,Mid,2999,2999,7.2,1%,Points,0.25,1,0.5,No,4,0,2%,,False,"lifestyle, movie",Varies,4 dom quarterly,"Rent, wallet, govt, fuel",,2.36%,Low,0% (Excluded),₹250,1%,"₹500 – ₹4,000",All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,1%,2.0%,1%,No Cap,Annual Fee Waiver,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
PNB RuPay Platinum,PNB,Entry,0,0,3-6,0.25%,Points,0.25,1,0.0,No,2,0,3.5%,,True,"upi, budget",,2 dom quarterly,"Rent, wallet, govt, fuel",,3.89%,Low,0% (Excluded),₹100,1%,No specific limit,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,0.25%,0.25%,0.25%,No Cap,Fee Waiver only,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""0.25%""}"
Union Bank Platinum,Union,Entry,0,0,3-6,0.25%,Points,0.25,1,0.0,No,2,0,3.5%,,True,"banking, entry",,2 dom quarterly,"Rent, wallet, govt, fuel",,3.89%,Low,0% (Excluded),₹250,1%,"₹400 – ₹5,000",All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,0.25%,0.25%,0.25%,No Cap,Fee Waiver only,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""0.25%""}"
HDFC Freedom,HDFC,Entry,500,500,1.5-3,0.25%,Points,0.15,1,0.0,No,0,0,3.5%,,False,"student, entry",,,"Rent, wallet, govt, fuel",,3.89%,Low,0% (Excluded),₹250,1%,"₹500 – ₹4,000",All Stations,SmartBuy Portal,0.33%-1%,IndiGo,Air India,Vistara,SpicelJet,1.0,10% on SmartBuy (Cycles),0,0.25%,0.25%,0.25%,No Cap,Fee Waiver only,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""0.25%""}"
SBI Elite,SBI,Premium,4999,4999,12-20,1.25%,Points,0.25,1,0.5,No,8,6,1.99%,,False,"movies, travel",Varies,Spend-based,"Rent, wallet, govt, fuel",,2.35%,Med,,,,,,Direct & SBI Card Portal,0.25%-1.25%,Air India,Vistara,IndiGo,,0.25,10% SBI Sales,0,2.0%,3.0%,1.25%,No Cap,High Spend Vouchers,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
